epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,462.216,1.01231,0.57841,0.95594,0.94531,0.98983,0.995,0.71083,1.02222,0.50688,0.91856,0.000214046,0.000214046,0.000214046
44,476.592,1.037,0.58792,0.95388,0.97186,0.9631,0.995,0.714,0.97541,0.486,0.91779,0.000193486,0.000193486,0.000193486
45,492.355,1.02266,0.58659,0.9478,0.97258,0.95299,0.995,0.71127,0.98466,0.46715,0.92084,0.00017378,0.00017378,0.00017378
46,505.534,1.05287,0.5829,0.9588,0.96518,0.95583,0.995,0.70383,1.03352,0.47361,0.93847,0.000154982,0.000154982,0.000154982
47,515.355,1.00341,0.56133,0.92957,0.97033,0.95623,0.995,0.68507,1.09399,0.48046,0.95602,0.000137143,0.000137143,0.000137143
48,526.279,1.01643,0.57237,0.95301,0.97404,0.95406,0.995,0.69614,1.09953,0.47731,0.95651,0.000120313,0.000120313,0.000120313
49,535.605,1.01645,0.5658,0.94742,0.97114,0.95405,0.995,0.7067,1.07715,0.47018,0.94974,0.000104537,0.000104537,0.000104537
50,546.139,1.04926,0.57561,0.94992,0.96591,0.95396,0.995,0.72227,1.04801,0.45675,0.93609,8.98581e-05,8.98581e-05,8.98581e-05
51,573.098,0.91533,0.53456,0.91796,0.95555,0.95327,0.995,0.71991,1.05674,0.46562,0.93473,7.63174e-05,7.63174e-05,7.63174e-05
52,581.813,0.92703,0.55114,0.91665,0.94526,0.95267,0.995,0.72425,1.06919,0.47439,0.93739,6.39518e-05,6.39518e-05,6.39518e-05
53,590.814,0.91401,0.50641,0.93206,0.94217,0.95257,0.995,0.71642,1.07281,0.46675,0.93911,5.2795e-05,5.2795e-05,5.2795e-05
54,601.126,0.90696,0.51022,0.91656,0.94096,0.95091,0.995,0.71546,1.08724,0.48082,0.94673,4.28777e-05,4.28777e-05,4.28777e-05
55,614.296,0.91899,0.49675,0.93467,0.92564,0.96932,0.995,0.70816,1.08772,0.48004,0.94952,3.4227e-05,3.4227e-05,3.4227e-05
56,627.583,0.91568,0.49377,0.92138,0.91301,0.98879,0.995,0.69419,1.10115,0.48124,0.95548,2.68667e-05,2.68667e-05,2.68667e-05
57,636.8,0.90977,0.50006,0.93613,0.91607,0.98905,0.995,0.69956,1.09318,0.48083,0.95567,2.08169e-05,2.08169e-05,2.08169e-05
58,646.57,0.8785,0.48685,0.90826,0.9196,0.98946,0.995,0.70654,1.10016,0.48109,0.95827,1.60943e-05,1.60943e-05,1.60943e-05
59,656.39,0.90512,0.54269,0.92759,0.9223,0.99015,0.995,0.7102,1.09878,0.48252,0.95902,1.27117e-05,1.27117e-05,1.27117e-05
60,666.234,0.89299,0.50978,0.92398,0.92474,0.99011,0.995,0.7089,1.09048,0.47668,0.95812,1.06784e-05,1.06784e-05,1.06784e-05
